Z   A   EL  Binding Energy 
96  242 Cm  7534.504
97  242 Bk  7519#
98  242 Cf  7509.0991
99  242 Es  7483#
100 242 Fm  7465#
92  243 U   7518#
93  243 Np  7526#
94  243 Pu  7531.0087
95  243 Am  7530.1742
96  243 Cm  7526.9261
97  243 Bk  7517.5021
98  243 Cf  7505#
99  243 Es  7486#
100 243 Fm  7464#
93  244 Np  7514#
94  244 Pu  7524.8154
95  244 Am  7521.3095
96  244 Cm  7523.9527
97  244 Bk  7511.4759
98  244 Cf  7505.1373
99  244 Es  7483#
100 244 Fm  7468#
101 244 Md  7438#
93  245 Np  7506#
94  245 Pu  7513.2822
95  245 Am  7515.3043
96  245 Cm  7515.7677
97  245 Bk  7509.2714
98  245 Cf  7499.6644
99  245 Es  7485#
100 245 Fm  7465#
101 245 Md  7441#
94  246 Pu  7506.5401
95  246 Am  7505#
96  246 Cm  7511.4716
97  246 Bk  7502.8035
98  246 Cf  7499.122
99  246 Es  7480.7849
100 246 Fm  7467.9608
101 246 Md  7441#
94  247 Pu  7493#
95  247 Am  7499#
96  247 Cm  7501.9318
97  247 Bk  7498.9408
98  247 Cf  7493.2638
99  247 Es  7480.1005
100 247 Fm  7464#
101 247 Md  7444#
95  248 Am  7487#
96  248 Cm  7496.7291
97  248 Bk  7490.5975
98  248 Cf  7491.044
99  248 Es  7476#
100 248 Fm  7465.9451
101 248 Md  7442#
102 248 No  7424#
95  249 Am  7479#
96  249 Cm  7485.551
97  249 Bk  7486.041
98  249 Cf  7483.3954
99  249 Es  7474#
100 249 Fm  7461.8649
101 249 Md  7444.0169
102 249 No  7422#
96  250 Cm  7478.9385
97  250 Bk  7475.9594
98  250 Cf  7479.9567
99  250 Es  7469#
100 250 Fm  7462.0905
101 250 Md  7441.6533
102 250 No  7426#
96  251 Cm  7466.7233
97  251 Bk  7469.2637
98  251 Cf  7470.5014
99  251 Es  7465.8842
100 251 Fm  7457.0013
101 251 Md  7441.9005
102 251 No  7423#
103 251 Lr  7400#
96  252 Cm  7460#
97  252 Bk  7459#
98  252 Cf  7465.3474
99  252 Es  7457.2428
100 252 Fm  7456.0351
101 252 Md  7438.4444
102 252 No  7425.7992
103 252 Lr  7400#
97  253 Bk  7451#
98  253 Cf  7454.8297
99  253 Es  7452.8879
100 253 Fm  7448.4712
101 253 Md  7438#
102 253 No  7422.4719
103 253 Lr  7402.918
104 253 Rf  7380#
97  254 Bk  7440#
98  254 Cf  7449.2259
99  254 Es  7443.5759
100 254 Fm  7444.7936
101 254 Md  7432#
102 254 No  7423.5909
103 254 Lr  7401.1306
104 254 Rf  7384#
98  255 Cf  7438#
99  255 Es  7437.8216
100 255 Fm  7435.886
101 255 Md  7428.7333
102 255 No  7417.9403
103 255 Lr  7402.5767
104 255 Rf  7382#
105 255 Db  7359#
98  256 Cf  7432#
99  256 Es  7428#
100 256 Fm  7431.7888
101 256 Md  7421#
102 256 No  7416.5429
103 256 Lr  7398.1605
104 256 Rf  7385.4349
105 256 Db  7359#
99  257 Es  7422#
100 257 Fm  7422.1942
101 257 Md  7417.5845
102 257 No  7409.6587
103 257 Lr  7397#
104 257 Rf  7381.7053
105 257 Db  7361.9767
99  258 Es  7412#
100 258 Fm  7418#
101 258 Md  7409.6615
102 258 No  7407#
103 258 Lr  7392#
104 258 Rf  7382.5257
105 258 Db  7359.4803
106 258 Sg  7342#
100 259 Fm  7407#
101 259 Md  7405#
102 259 No  7399.9714
103 259 Lr  7390#
104 259 Rf  7377#
105 259 Db  7360.3626
106 259 Sg  7340#
100 260 Fm  7402#
101 260 Md  7396#
102 260 No  7397#
103 260 Lr  7383#
104 260 Rf  7377#
105 260 Db  7357#
106 260 Sg  7342.5632
107 260 Bh  7314#
101 261 Md  7391#
102 261 No  7388#
103 261 Lr  7381#
104 261 Rf  7371.3858
105 261 Db  7357#
106 261 Sg  7339.771
107 261 Bh  7317.3313
101 262 Md  7382#
102 262 No  7385#
103 262 Lr  7374#
104 262 Rf  7370#
105 262 Db  7352#
106 262 Sg  7341.1736
107 262 Bh  7315.7331
102 263 No  7376#
103 263 Lr  7371#
104 263 Rf  7364#
105 263 Db  7352#
106 263 Sg  7337#
107 263 Bh  7318#
108 263 Hs  7295#
102 264 No  7371#
103 264 Lr  7363#
104 264 Rf  7361#
105 264 Db  7346#
106 264 Sg  7338#
107 264 Bh  7315#
108 264 Hs  7298.3762
103 265 Lr  7359#
104 265 Rf  7354#
105 265 Db  7345#
106 265 Sg  7333#
107 265 Bh  7316#
108 265 Hs  7296.2474
109 265 Mt  7272#
103 266 Lr  7349#
104 266 Rf  7351#
105 266 Db  7339#
106 266 Sg  7332#
107 266 Bh  7313#
108 266 Hs  7298.2611
109 266 Mt  7270.7598
104 267 Rf  7342#
105 267 Db  7337#
106 267 Sg  7327#
107 267 Bh  7313#
108 267 Hs  7295#
109 267 Mt  7273#
110 267 Ds  7248#
104 268 Rf  7337#
105 268 Db  7328#
106 268 Sg  7326#
107 268 Bh  7309#
108 268 Hs  7297#
109 268 Mt  7271#
110 268 Ds  7252#
105 269 Db  7323#
106 269 Sg  7318#
107 269 Bh  7309#
108 269 Hs  7294#
109 269 Mt  7274#
110 269 Ds  7250.1551
105 270 Db  7314#
106 270 Sg  7314#
107 270 Bh  7301#
108 270 Hs  7295#
109 270 Mt  7271#
110 270 Ds  7253.7634
106 271 Sg  7305#
107 271 Bh  7298#
108 271 Hs  7288#
109 271 Mt  7273#
110 271 Ds  7252#
106 272 Sg  7301#
107 272 Bh  7290#
108 272 Hs  7286#
109 272 Mt  7267#
110 272 Ds  7255#
111 272 Rg  7227#
106 273 Sg  7292#
107 273 Bh  7286#
108 273 Hs  7279#
109 273 Mt  7265#
110 273 Ds  7250#
111 273 Rg  7230#
107 274 Bh  7278#
108 274 Hs  7276#
109 274 Mt  7259#
110 274 Ds  7249#
111 274 Rg  7227#
107 275 Bh  7273#
108 275 Hs  7268#
109 275 Mt  7257#
110 275 Ds  7243#
111 275 Rg  7227#
107 276 Bh  7265#
108 276 Hs  7265#
109 276 Mt  7250#
110 276 Ds  7243#
111 276 Rg  7223#
112 276 Cn  7209#
107 277 Bh  7260#
108 277 Hs  7256#
109 277 Mt  7247#
110 277 Ds  7237#
111 277 Rg  7222#
112 277 Cn  7205#
107 278 Bh  7251#
108 278 Hs  7252#
109 278 Mt  7240#
110 278 Ds  7236#
111 278 Rg  7218#
112 278 Cn  7206#
113 278 Nh  7181#
108 279 Hs  7243#
109 279 Mt  7237#
110 279 Ds  7229#
111 279 Rg  7216#
112 279 Cn  7202#
113 279 Nh  7183#
108 280 Hs  7239#
109 280 Mt  7229#
110 280 Ds  7227#
111 280 Rg  7212#
112 280 Cn  7202#
113 280 Nh  7180#
109 281 Mt  7225#
110 281 Ds  7220#
111 281 Rg  7209#
112 281 Cn  7197#
113 281 Nh  7181#
109 282 Mt  7218#
110 282 Ds  7217#
111 282 Rg  7204#
112 282 Cn  7197#
113 282 Nh  7177#
110 283 Ds  7210#
111 283 Rg  7201#
112 283 Cn  7192#
113 283 Nh  7177#
110 284 Ds  7207#
111 284 Rg  7195#
112 284 Cn  7191#
113 284 Nh  7173#
114 284 Fl  7163#
111 285 Rg  7192#
112 285 Cn  7185#
113 285 Nh  7172#
114 285 Fl  7159#
111 286 Rg  7185#
112 286 Cn  7183#
113 286 Nh  7168#
114 286 Fl  7159#
112 287 Cn  7176#
113 287 Nh  7166#
114 287 Fl  7155#
115 287 Mc  7139#
112 288 Cn  7174#
113 288 Nh  7160#
114 288 Fl  7154#
115 288 Mc  7135#
113 289 Nh  7158#
114 289 Fl  7149#
115 289 Mc  7135#
116 289 Lv  7119#
113 290 Nh  7152#
114 290 Fl  7147#
115 290 Mc  7131#
116 290 Lv  7120#
114 291 Fl  7141#
115 291 Mc  7129#
116 291 Lv  7116#
117 291 Ts  7098#
115 292 Mc  7124#
116 292 Lv  7116#
117 292 Ts  7095#
116 293 Lv  7111#
117 293 Ts  7095#
118 293 Og  7078#
117 294 Ts  7092#
118 294 Og  7079#
118 295 Og  7076#
