Z   A   EL  Binding Energy 
32  69  Ge  8680.964
33  69  As  8611.8214
34  69  Se  8503.7082
35  69  Br  8344.9026
36  69  Kr  8129#
24  70  Cr  7884#
25  70  Mn  8084#
26  70  Fe  8308#
27  70  Co  8434.198
28  70  Ni  8604.2917
29  70  Cu  8646.8655
30  70  Zn  8729.8086
31  70  Ga  8709.2808
32  70  Ge  8721.7028
33  70  As  8621.5541
34  70  Se  8576.0338
35  70  Br  8414.7964
36  70  Kr  8256#
25  71  Mn  8030#
26  71  Fe  8235#
27  71  Co  8398.7344
28  71  Ni  8543.1564
29  71  Cu  8635.0233
30  71  Zn  8689.0417
31  71  Ga  8717.605
32  71  Ge  8703.3118
33  71  As  8663.935
34  71  Se  8586.0606
35  71  Br  8481.4629
36  71  Kr  8327.131
37  71  Rb  8118#
25  72  Mn  7955#
26  72  Fe  8195#
27  72  Co  8338#
28  72  Ni  8520.2118
29  72  Cu  8586.5256
30  72  Zn  8691.8053
31  72  Ga  8687.0893
32  72  Ge  8731.7459
33  72  As  8660.3786
34  72  Se  8644.4902
35  72  Br  8511.3126
36  72  Kr  8429.3193
37  72  Rb  8202#
25  73  Mn  7895#
26  73  Fe  8121#
27  73  Co  8302#
28  73  Ni  8457.6529
29  73  Cu  8568.5699
30  73  Zn  8648.3455
31  73  Ga  8693.874
32  73  Ge  8705.05
33  73  As  8689.6099
34  73  Se  8641.5591
35  73  Br  8568.0803
36  73  Kr  8460.1847
37  73  Rb  8305.0821
38  73  Sr  8102#
26  74  Fe  8076#
27  74  Co  8239#
28  74  Ni  8433#
29  74  Cu  8521.5633
30  74  Zn  8642.7547
31  74  Ga  8663.1676
32  74  Ge  8725.2011
33  74  As  8680.002
34  74  Se  8687.7155
35  74  Br  8583.5615
36  74  Kr  8533.039
37  74  Rb  8381.7123
38  74  Sr  8221#
26  75  Fe  7996#
27  75  Co  8197#
28  75  Ni  8369#
29  75  Cu  8495.0801
30  75  Zn  8592.4981
31  75  Ga  8660.7565
32  75  Ge  8695.6096
33  75  As  8700.8748
34  75  Se  8678.9139
35  75  Br  8627.6497
36  75  Kr  8553.4399
37  75  Rb  8448.2762
38  75  Sr  8296.5116
39  75  Y   8089#
26  76  Fe  7943#
27  76  Co  8131#
28  76  Ni  8338#
29  76  Cu  8443.6018
30  76  Zn  8582.2735
31  76  Ga  8624.5272
32  76  Ge  8705.2364
33  76  As  8682.8172
34  76  Se  8711.4781
35  76  Br  8635.883
36  76  Kr  8608.8077
37  76  Rb  8486.2161
38  76  Sr  8393.9294
39  76  Y   8173#
27  77  Co  8082#
28  77  Ni  8272#
29  77  Cu  8411.2501
30  77  Zn  8530.0037
31  77  Ga  8613.3907
32  77  Ge  8671.0293
33  77  As  8695.9789
34  77  Se  8694.6908
35  77  Br  8666.8073
36  77  Kr  8616.837
37  77  Rb  8537.3396
38  77  Sr  8435.9188
39  77  Y   8278#
40  77  Zr  8075#
27  78  Co  7997#
28  78  Ni  8238#
29  78  Cu  8354.6695
30  78  Zn  8507.38
31  78  Ga  8577.1043
32  78  Ge  8671.6636
33  78  As  8673.876
34  78  Se  8717.8072
35  78  Br  8661.9594
36  78  Kr  8661.2385
37  78  Rb  8558.3512
38  78  Sr  8500.0971
39  78  Y   8349#
40  78  Zr  8194#
28  79  Ni  8150#
29  79  Cu  8320.938
30  79  Zn  8450.5825
31  79  Ga  8556.0725
32  79  Ge  8634.5089
33  79  As  8676.6172
34  79  Se  8695.5923
35  79  Br  8687.5956
36  79  Kr  8657.113
37  79  Rb  8601.1401
38  79  Sr  8523.8558
39  79  Y   8416.7788
40  79  Zr  8267#
41  79  Nb  8066#
28  80  Ni  8088#
29  80  Cu  8246#
30  80  Zn  8423.5457
31  80  Ga  8508.4545
32  80  Ge  8627.5707
33  80  As  8651.2824
34  80  Se  8710.8142
35  80  Br  8677.6541
36  80  Kr  8692.9301
37  80  Rb  8611.676
38  80  Sr  8578.5966
39  80  Y   8454.2759
40  80  Zr  8365#
41  80  Nb  8151#
28  81  Ni  8000#
29  81  Cu  8185#
30  81  Zn  8351.9262
31  81  Ga  8483.3576
32  81  Ge  8580.6587
33  81  As  8648.0571
34  81  Se  8685.9998
35  81  Br  8695.9465
36  81  Kr  8682.8206
37  81  Rb  8645.5139
38  81  Sr  8587.3545
39  81  Y   8505.9031
40  81  Zr  8395.1519
41  81  Nb  8248#
42  81  Mo  8054#
28  82  Ni  7935#
29  82  Cu  8108#
30  82  Zn  8301.1175
31  82  Ga  8421.0494
32  82  Ge  8563.7567
33  82  As  8611.4153
34  82  Se  8693.1973
35  82  Br  8682.4953
36  82  Kr  8710.6754
37  82  Rb  8647.4275
38  82  Sr  8635.719
39  82  Y   8529.2762
40  82  Zr  8465.4666
41  82  Nb  8312#
42  82  Mo  8163#
29  83  Cu  8044#
30  83  Zn  8226#
31  83  Ga  8372.5756
32  83  Ge  8504.3462
33  83  As  8599.654
34  83  Se  8658.556
35  83  Br  8693.3852
36  83  Kr  8695.7295
37  83  Rb  8675.2193
38  83  Sr  8638.4076
39  83  Y   8573.6571
40  83  Zr  8488.3997
41  83  Nb  8378.9889
42  83  Mo  8234#
43  83  Tc  8043#
29  84  Cu  7965#
30  84  Zn  8171#
31  84  Ga  8307.525
32  84  Ge  8465.5244
33  84  As  8547.9385
34  84  Se  8658.7935
35  84  Br  8671.3294
36  84  Kr  8717.4473
37  84  Rb  8676.2244
38  84  Sr  8677.5132
39  84  Y   8587.7812
40  84  Zr  8549.0301
41  84  Nb  8417.9563
42  84  Mo  8325#
43  84  Tc  8120#
30  85  Zn  8090#
31  85  Ga  8253.5687
32  85  Ge  8401.7689
33  85  As  8510.9851
34  85  Se  8610.3045
35  85  Br  8673.5926
36  85  Kr  8698.5633
37  85  Rb  8697.4416
38  85  Sr  8675.7193
39  85  Y   8628.1486
40  85  Zr  8564.0394
41  85  Nb  8473.7117
42  85  Mo  8361.332
43  85  Tc  8215#
44  85  Ru  8027#
30  86  Zn  8032#
31  86  Ga  8182#
32  86  Ge  8354.63
33  86  As  8456.7215
34  86  Se  8581.8224
35  86  Br  8632.3659
36  86  Kr  8712.0295
37  86  Rb  8696.9014
38  86  Sr  8708.4566
39  86  Y   8638.4293
40  86  Zr  8614.0523
41  86  Nb  8502.2231
42  86  Mo  8434.7175
43  86  Tc  8280#
44  86  Ru  8133#
31  87  Ga  8124#
32  87  Ge  8285#
33  87  As  8413.8521
34  87  Se  8529.092
35  87  Br  8605.9105
36  87  Kr  8675.284
37  87  Rb  8710.9843
38  87  Sr  8705.2363
39  87  Y   8674.8451
40  87  Zr  8623.6545
41  87  Nb  8551.7579
42  87  Mo  8462.4243
43  87  Tc  8347.7449
44  87  Ru  8201#
31  88  Ga  8050#
32  88  Ge  8236#
33  88  As  8351#
34  88  Se  8495.0045
35  88  Br  8563.7479
36  88  Kr  8656.8499
37  88  Rb  8681.1154
38  88  Sr  8732.5958
39  88  Y   8682.5396
40  88  Zr  8666.0339
41  88  Nb  8572.4013
42  88  Mo  8523.9087
43  88  Tc  8389.8338
44  88  Ru  8298#
45  88  Rh  8090#
32  89  Ge  8161#
33  89  As  8304#
34  89  Se  8435.2799
35  89  Br  8530.7802
36  89  Kr  8614.8158
37  89  Rb  8664.1895
38  89  Sr  8705.923
39  89  Y   8714.011
40  89  Zr  8673.3865
41  89  Nb  8616.8184
42  89  Mo  8544.9851
43  89  Tc  8450.5758
44  89  Ru  8340.376
45  89  Rh  8189#
32  90  Ge  8109#
33  90  As  8240#
34  90  Se  8395.7672
35  90  Br  8478.1865
36  90  Kr  8591.2599
37  90  Rb  8631.5262
38  90  Sr  8696.0043
39  90  Y   8693.3778
40  90  Zr  8709.9699
41  90  Nb  8633.377
42  90  Mo  8597.0285
43  90  Tc  8483.36
44  90  Ru  8409.7684
45  90  Rh  8254#
46  90  Pd  8113#
33  91  As  8189#
34  91  Se  8334.8382
35  91  Br  8441.9242
36  91  Kr  8541.7519
37  91  Rb  8607.5621
38  91  Sr  8663.8759
39  91  Y   8684.9421
40  91  Zr  8693.3149
41  91  Nb  8670.8983
42  91  Mo  8613.6286
43  91  Tc  8536.6558
44  91  Ru  8442.9287
45  91  Rh  8328#
46  91  Pd  8183#
33  92  As  8121#
34  92  Se  8290#
35  92  Br  8384.9123
36  92  Kr  8512.675
37  92  Rb  8569.4225
38  92  Sr  8648.907
39  92  Y   8661.5894
