Q2,xBj,sigma_theory
22.0,0.00029,1.4489318467403605
22.0,0.00032,1.429097623729862
22.0,0.000345,1.4132739051279444
22.0,0.000388,1.3875070042496371
22.0,0.0005,1.3284681531327853
22.0,0.000592,1.287910812482161
22.0,0.0008,1.2182243573333074
22.0,0.0013,1.127240821680489
22.0,0.002,1.038110090260745
22.0,0.0032,0.9070430544283786
22.0,0.005,0.7577791947884063
22.0,0.008,0.617397056535519
22.0,0.013,0.6035710761539366
22.0,0.032,0.5184450033564678
27.0,0.000314,1.4691015048302107
27.0,0.000355,1.44945232268473
27.0,0.00041,1.424247316649806
27.0,0.0005,1.3857494106084394
27.0,0.0008,1.2798022094782193
27.0,0.0013,1.1643763406498435
27.0,0.002,1.076847142070663
27.0,0.0032,0.9661252644477691
27.0,0.005,0.8309372514443017
27.0,0.008,0.677897351640799
27.0,0.013,0.5777088130188068
27.0,0.02,0.6152118876532803
27.0,0.032,0.5215431848231261
35.0,0.00046,1.4538544590876517
35.0,0.0005,1.4428776237875516
35.0,0.000531,1.4345324227955176
35.0,0.000616,1.4123548938241977
35.0,0.000657,1.4020157534478483
35.0,0.0008,1.3676849348168718
35.0,0.001,1.323828285936387
35.0,0.0013,1.2658468253503674
35.0,0.002,1.155743723004897
35.0,0.0032,1.004359119008289
35.0,0.005,0.8394254715497503
35.0,0.008,0.694309626745706
35.0,0.013,0.6498627922360513
35.0,0.02,0.6229932874851534
35.0,0.032,0.5081453577533028
35.0,0.08,0.44816542317046343
45.0,0.00059,1.464399607914344
45.0,0.000634,1.4546765788887956
45.0,0.0007,1.4403760158268033
45.0,0.0008,1.4193359941450188
45.0,0.00092,1.395038648647986
45.0,0.0011,1.3604019802571818
45.0,0.0013,1.3242253915786808
45.0,0.002,1.2124848430130697
45.0,0.0032,1.054877636746761
45.0,0.005,0.8822167418400925
45.0,0.008,0.7275643940206595
45.0,0.013,0.6722327209189065
45.0,0.02,0.6323768309535167
45.0,0.032,0.5214399560321038
45.0,0.05,0.4863526592160794
60.0,0.0008,1.5196425394358455
60.0,0.00086,1.5009272093321335
60.0,0.00094,1.4769661903873852
60.0,0.0011,1.4323104370711361
60.0,0.0013,1.3822370546094926
60.0,0.0015,1.3380139508896611
60.0,0.002,1.2492928929914722
60.0,0.0032,1.1173945338467801
60.0,0.005,0.9775266787361288
60.0,0.008,0.8083426334082642
60.0,0.013,0.6634307006914864
60.0,0.02,0.6181427813968764
60.0,0.032,0.5826270936116799
60.0,0.05,0.5000025522912341
60.0,0.13,0.39514275130042126
70.0,0.000922,1.426441369817048
70.0,0.001,1.4556061233166726
70.0,0.0011,1.458736558563459
70.0,0.00124,1.423654893463466
70.0,0.0013,1.403018369319664
70.0,0.002,1.2256079717806898
70.0,0.0025,1.1579643397840715
70.0,0.0032,1.1055551766809764
70.0,0.005,1.0030168742566206
70.0,0.008,0.8618110791197466
70.0,0.013,0.6988659877840507
70.0,0.02,0.590384421006816
70.0,0.032,0.588474756001381
70.0,0.05,0.507862079105341
90.0,0.0013,1.41201890734663
90.0,0.0015,1.3870554272667837
90.0,0.002,1.3277767875292132
90.0,0.0032,1.202765186808617
90.0,0.005,1.0561173899285732
90.0,0.008,0.8986966516238594
90.0,0.013,0.7781892465069604
90.0,0.02,0.6736450675715342
90.0,0.032,0.5430755936892171
90.0,0.05,0.4440355133558219
90.0,0.08,0.45753987384899375
90.0,0.18,0.3420843545237931
120.0,0.0016,1.4238508693416543
120.0,0.00172,1.404332151308451
120.0,0.00188,1.379600496166763
120.0,0.002,1.3619850023171283
120.0,0.00212,1.3451379527557743
120.0,0.0027,1.2736336642837576
120.0,0.0032,1.22341940099884
120.0,0.005,1.0976738281846692
120.0,0.008,0.9440034776556191
120.0,0.013,0.7598565393052653
120.0,0.02,0.6202670889422202
120.0,0.032,0.5588706963729557
120.0,0.05,0.5196759612673355
120.0,0.08,0.43142687962433707
120.0,0.18,0.3322659914752272
150.0,0.002,1.3110271325401768
150.0,0.0032,1.226247221121603
150.0,0.005,1.1154570213865564
150.0,0.008,0.9695432452928539
150.0,0.013,0.8115306043698001
150.0,0.02,0.6971056321624379
150.0,0.032,0.5753144727213197
150.0,0.05,0.47486478292804385
150.0,0.08,0.46061768961383
150.0,0.18,0.3232921978633773
200.0,0.0026,1.2421642532507802
200.0,0.0032,1.2102235103066488
200.0,0.005,1.1213348714052058
200.0,0.008,0.9948560242079297
200.0,0.013,0.8369744940850109
200.0,0.02,0.7036818285683553
200.0,0.032,0.6117853288305568
200.0,0.05,0.5346872988232574
200.0,0.08,0.4367571726810452
200.0,0.13,0.3429096464767701
200.0,0.18,0.3100095244549973
200.0,0.25,0.30973884214983216
200.0,0.4,0.1358772047596073
250.0,0.0033,1.2115848874309791
250.0,0.005,1.1335480584386244
250.0,0.008,1.0156133776059064
250.0,0.013,0.862602822572241
250.0,0.02,0.7081016358345475
250.0,0.032,0.5600206801923977
250.0,0.05,0.49482018823639173
250.0,0.08,0.44876082663010924
250.0,0.13,0.38279153597995486
250.0,0.18,0.32780005572981485
250.0,0.25,0.2637237760563442
250.0,0.4,0.1426321552926885
300.0,0.0039,1.1506504347668296
300.0,0.005,1.1109659997709462
300.0,0.008,1.0114728324545836
300.0,0.013,0.8721483267244038
300.0,0.02,0.7261065911593468
300.0,0.032,0.5799814048676987
300.0,0.05,0.5024936834614276
300.0,0.08,0.43812469576659335
300.0,0.13,0.3627734325870013
300.0,0.18,0.31684442717161454
300.0,0.25,0.2789259056658229
300.0,0.4,0.15751226560373005
400.0,0.0053,1.1009585771264143
400.0,0.008,1.0189638480804455
400.0,0.013,0.8895723822283422
400.0,0.02,0.7517354928155356
400.0,0.032,0.6078670750976293
400.0,0.05,0.5191843909576745
400.0,0.08,0.4368339944128206
400.0,0.13,0.348181028860737
400.0,0.18,0.3038997296318423
400.0,0.25,0.2804746998251825
400.0,0.4,0.15732878096337694
500.0,0.0066,0.998375900822851
500.0,0.008,0.9704393122041541
500.0,0.013,0.8810854242395799
500.0,0.02,0.780564033915546
500.0,0.032,0.6614400458876128
500.0,0.05,0.5594479880796499
500.0,0.08,0.44631722110654426
500.0,0.13,0.3343826009541012
500.0,0.18,0.29205502526293226
500.0,0.25,0.2922564458638083
500.0,0.4,0.1676360016632195
650.0,0.0085,0.922822185392642
650.0,0.013,0.8594442149529006
650.0,0.02,0.773764713963634
650.0,0.032,0.659263594967959
650.0,0.05,0.5485999264666057
650.0,0.08,0.45961627189254695
650.0,0.13,0.3673672579773565
650.0,0.18,0.29808597630628314
650.0,0.25,0.23199686012513487
650.0,0.4,0.16386229494954493
650.0,0.65,0.020176703005391382
800.0,0.0105,0.860193364218028
800.0,0.013,0.8313343703892226
800.0,0.02,0.7588727143754201
800.0,0.032,0.6602708516775154
800.0,0.05,0.5608627460043416
800.0,0.08,0.47183231578882534
800.0,0.13,0.37291413803961265
800.0,0.18,0.2982753446979506
800.0,0.25,0.22672279157874228
800.0,0.4,0.15384482091619672
800.0,0.65,0.017876542314144372
1000.0,0.013,0.7628302611013379
1000.0,0.02,0.7217325073237538
1000.0,0.032,0.6580941710481456
1000.0,0.05,0.5772655053918936
1000.0,0.08,0.4750235855720161
1000.0,0.13,0.36515998908523467
1000.0,0.18,0.2904676270394372
1000.0,0.25,0.22151899349534485
1000.0,0.4,0.15828449165818914
1000.0,0.65,0.01662286828464591
1200.0,0.014,0.7756807895052116
1200.0,0.02,0.7348874598794911
1200.0,0.032,0.6620857858441198
1200.0,0.05,0.5726485862562328
1200.0,0.08,0.46652896607241623
1200.0,0.13,0.3646426163618593
1200.0,0.18,0.29658058104293017
1200.0,0.25,0.22889185503673096
1200.0,0.4,0.15208985788354853
1200.0,0.65,0.01896350211746022
1500.0,0.02,0.6587075454962534
1500.0,0.032,0.6194094716750612
1500.0,0.05,0.5644954645345573
1500.0,0.08,0.48317592159828365
1500.0,0.13,0.37348669993963957
1500.0,0.18,0.2919553531822795
1500.0,0.25,0.2160075679935145
1500.0,0.4,0.1464820465949083
1500.0,0.65,0.013279928985503165
2000.0,0.0219,0.6438719313105108
2000.0,0.032,0.6109978193363954
2000.0,0.05,0.556244443188236
2000.0,0.08,0.47535580652145404
2000.0,0.13,0.36676753768170767
2000.0,0.18,0.28669867280891465
2000.0,0.25,0.21314882166699173
2000.0,0.4,0.1485355499293194
2000.0,0.65,0.01437941755646868
3000.0,0.032,0.5761052401732196
3000.0,0.05,0.5289868961408724
3000.0,0.08,0.45850860374235375
3000.0,0.13,0.36152559463594836
3000.0,0.18,0.2870152500749328
3000.0,0.25,0.2135821000337
3000.0,0.4,0.13466241198357487
3000.0,0.65,0.014613903215398334
5000.0,0.0547,0.46836956384310174
5000.0,0.08,0.4236515164152676
5000.0,0.13,0.3470406333989331
5000.0,0.18,0.28439936907322877
5000.0,0.25,0.21640018427192945
5000.0,0.4,0.12454971098745594
5000.0,0.65,0.010589022010082461
8000.0,0.0875,0.3524317823988011
8000.0,0.13,0.31385924471288973
8000.0,0.18,0.26977088000642246
8000.0,0.25,0.2113079799976165
8000.0,0.4,0.10481923819162695
8000.0,0.65,0.015810874692643594
12000.0,0.13,0.22240136115932552
12000.0,0.18,0.20478859729036752
12000.0,0.25,0.17238513222344432
12000.0,0.4,0.09106639432520047
12000.0,0.65,0.017358515001661863
20000.0,0.25,0.126
20000.0,0.4,0.078
20000.0,0.65,0.012
30000.0,0.4,0.06
30000.0,0.65,0.009
