Q2,xBj,sigma,d stat,d uncor,d cor,d rel,d p,d had,d 1,d 2,d 3,d 4,d tot
1.2,0.320x10-4,0.685,1.67,2.73,1.33,0.44,0.03,-0.36,0.18,-0.02,0.01,0.05,3.52
1.2,0.631x10-4,0.649,1.39,1.47,1.43,0.61,-0.47,-0.33,0.26,0,0,0.05,2.63
1.2,0.800x10-4,0.595,2.05,1.36,1.88,0.61,-0.38,-0.15,-0.47,0,0.01,0.06,3.21
1.2,0.130x10-3,0.543,2.43,4.97,1.61,0.37,-0.38,0.22,-0.27,-0.01,0.01,0.04,5.79
1.2,0.158x10-3,0.533,1.54,1.35,1.43,0.68,-0.55,-0.29,-0.96,-0.02,0.01,0.07,2.83
1.2,0.398x10-3,0.493,2.12,3.36,1.38,0.38,-0.59,-0.44,0.77,0,0.01,0.03,4.36
1.2,0.130x10-2,0.372,3.55,2.67,1.41,0.58,-0.36,-0.14,-0.34,0,0.02,0.08,4.72
1.2,0.500x10-2,0.298,4.51,2.61,1.55,0.3,-0.61,0.01,-0.79,0,0.01,0.09,5.53
1.5,0.185x10-4,0.619,3.14,3.48,5.44,0.82,-7.49,-0.06,-5.81,-0.3,-0.04,-0.04,11.92
1.5,0.220x10-4,0.696,1.94,1.78,1.62,0.43,-0.29,-0.06,-0.29,-0.06,0,0.03,3.16
1.5,0.320x10-4,0.753,1.73,2.15,1.2,0.38,0.07,-0.24,0.13,-0.02,0,0.05,3.05
1.5,0.500x10-4,0.76,1.05,1.98,1.15,0.54,-0.63,-0.4,0.1,0,0,0.03,2.68
1.5,0.800x10-4,0.699,1.26,2.15,1.37,0.55,-0.33,-0.37,-0.08,-0.01,0.01,0.05,2.94
1.5,0.130x10-3,0.646,1.46,2.43,1.55,0.53,-0.48,-0.48,-0.47,-0.01,0.01,0.05,3.38
1.5,0.200x10-3,0.612,2.08,2.86,1.65,0.57,-0.47,0.22,0.39,0,0.01,0.04,4
1.5,0.320x10-3,0.577,1.49,2.26,1.61,0.43,-0.68,-0.67,0.23,-0.01,0.01,0.04,3.33
1.5,0.500x10-3,0.547,2.52,7.05,1.89,0.37,-0.29,-0.15,-0.41,0,0.01,0.04,7.74
1.5,0.800x10-3,0.49,2.36,2.47,1.37,0.57,-0.54,-0.04,0.36,0,0.01,0.05,3.78
1.5,0.100x10-2,0.462,5.22,3.74,1.37,0.55,-0.04,-0.66,-0.04,0,0.03,0.08,6.63
1.5,0.320x10-2,0.41,2.31,2.04,1.41,0.61,-0.28,0.16,-0.67,0,0.01,0.1,3.53
1.5,0.130x10-1,0.324,4.01,2.5,4.84,-0.07,-1.12,0.53,1.69,-0.01,-0.03,0.06,7.08
2,0.247x10-4,0.781,2.31,2.7,4.11,0.85,-5.29,0.14,-3.43,-0.22,-0.03,-0.02,8.37
2,0.293x10-4,0.788,1.49,1.65,1.47,0.44,-0.34,0.02,-0.46,-0.06,0,0.03,2.76
2,0.500x10-4,0.823,1.52,1.93,1,0.42,-0.18,-0.18,0.13,-0.01,0.01,0.05,2.71
2,0.800x10-4,0.762,0.97,1.34,0.98,0.53,-0.2,-0.38,0.27,0,0,0.05,2.06
2,0.130x10-3,0.723,1.11,1.3,1.07,0.5,-0.2,-0.26,0.36,0,0,0.05,2.13
2,0.200x10-3,0.679,1.12,1.32,1.18,0.56,-0.36,0.28,0.18,0,0.01,0.06,2.22
2,0.320x10-3,0.627,1.01,1.65,1.31,0.45,-0.33,-0.1,0.58,0,0.01,0.06,2.47
2,0.500x10-3,0.575,1.17,2.04,1.38,0.44,0.02,0.07,0.22,0,0.02,0.03,2.77
2,0.100x10-2,0.51,0.99,1.79,1.1,0.45,-0.15,0.24,-0.33,0,0.01,0.05,2.41
2,0.320x10-2,0.426,1.07,1.89,1.47,0.57,-0.25,0.48,-0.9,0,0.01,0.1,2.89
2,0.130x10-1,0.358,2.39,2.14,3.99,0.07,-0.92,0.53,1.87,-0.01,-0.02,0.07,5.55
2.7,0.309x10-4,0.845,2.28,2.3,2.4,0.8,-3.17,-0.36,-2.05,-0.37,0,-0.04,5.6
2.7,0.366x10-4,0.866,1.99,1.88,1.27,0.57,-1.32,-0.16,-0.97,-0.28,0.01,-0.04,3.5
2.7,0.409x10-4,0.937,6.84,4.76,2.44,1.5,-0.37,0.17,-0.08,-1.68,0,0.14,8.98
2.7,0.500x10-4,0.883,1.51,1.65,0.98,0.43,-0.17,-0.04,-0.04,-0.02,0.01,0.04,2.48
2.7,0.800x10-4,0.889,0.72,1.03,0.85,0.47,-0.3,-0.31,0.26,0,0,0.04,1.67
2.7,0.130x10-3,0.805,0.62,0.87,0.82,0.46,0.02,-0.26,0.18,0,0.01,0.05,1.46
2.7,0.200x10-3,0.781,0.76,1.61,0.94,0.46,-0.31,0.02,0.19,0,0.01,0.06,2.1
2.7,0.320x10-3,0.7,0.84,1.27,0.96,0.55,-0.27,-0.02,0.82,0,0.02,0.05,2.07
2.7,0.500x10-3,0.645,0.69,1.35,1.05,0.46,-0.21,-0.11,0.4,0,0.02,0.04,1.96
2.7,0.800x10-3,0.594,0.88,1.84,0.92,0.42,-0.17,0,0.04,0,0.02,0.06,2.28
2.7,0.130x10-2,0.567,0.69,1.63,1,0.46,-0.1,0.28,-0.2,0,0.02,0.07,2.12
2.7,0.200x10-2,0.481,0.91,2.74,0.99,0.43,-0.27,-0.41,0.04,0.01,0,0.14,3.12
